id,title,brand,prompt
6d_atb_2t,"6D ATB-2T",6D,"Professional 8k studio product photography of a 6D ATB-2T motorcycle helmet. Features: Gloss Black finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atb_2t_anthracite,"6D ATB-2T Anthracite",6D,"Professional 8k studio product photography of a 6D ATB-2T Anthracite motorcycle helmet. Features: matte Anthracite finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atb_2t_matte-black,"6D ATB-2T Matte Black",6D,"Professional 8k studio product photography of a 6D ATB-2T Matte Black motorcycle helmet. Features: matte Matte Black finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atb_2t_pearl-white,"6D ATB-2T Pearl White",6D,"Professional 8k studio product photography of a 6D ATB-2T Pearl White motorcycle helmet. Features: gloss Pearl White finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atb_2t_urban-grey,"6D ATB-2T Urban Grey",6D,"Professional 8k studio product photography of a 6D ATB-2T Urban Grey motorcycle helmet. Features: matte Urban Grey finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2,"6D ATR-2",6D,"Professional 8k studio product photography of a 6D ATR-2 motorcycle helmet. Features: Gloss Black finish,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2_apex-blue,"6D ATR-2 Apex Blue",6D,"Professional 8k studio product photography of a 6D ATR-2 Apex Blue motorcycle helmet. Features: gloss Apex Blue finish,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2_gloss-black,"6D ATR-2 Gloss Black",6D,"Professional 8k studio product photography of a 6D ATR-2 Gloss Black motorcycle helmet. Features: gloss Gloss Black finish,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2_hi-viz-yellow,"6D ATR-2 Hi-Viz Yellow",6D,"Professional 8k studio product photography of a 6D ATR-2 Hi-Viz Yellow motorcycle helmet. Features: gloss Hi-Viz Yellow finish,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2_operator-grey,"6D ATR-2 Operator Grey",6D,"Professional 8k studio product photography of a 6D ATR-2 Operator Grey motorcycle helmet. Features: gloss Operator Grey finish,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2y,"6D ATR-2Y",6D,"Professional 8k studio product photography of a 6D ATR-2Y motorcycle helmet. Features: Gloss Black finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2y_anthracite,"6D ATR-2Y Anthracite",6D,"Professional 8k studio product photography of a 6D ATR-2Y Anthracite motorcycle helmet. Features: matte Anthracite finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2y_flow-red,"6D ATR-2Y Flow Red",6D,"Professional 8k studio product photography of a 6D ATR-2Y Flow Red motorcycle helmet. Features: gloss Flow Red finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
6d_atr_2y_matte-black,"6D ATR-2Y Matte Black",6D,"Professional 8k studio product photography of a 6D ATR-2Y Matte Black motorcycle helmet. Features: matte Matte Black finish, highly detailed exposed carbon fiber weave texture,  floating in air. Lighting: atmospheric outdoor motocross track lighting, sunset, dust particles. Composition: side view or three-quarter view, blurred background, hyper-realistic, octane render, unreal engine 5 style."
